Num,Latitude,Longitude
1,37.336803,126.712836
2,37.501303,126.787808
3,37.522501,126.777363
4,37.511178,126.743209
5,37.508776,126.738469
6,37.528486,126.741476
7,37.510999,126.778994
8,37.529438,126.742163
9,37.516358,126.734111
10,37.513337,126.734624
11,37.486048,126.802279
12,37.459113,126.710721
13,37.499841,126.7556
14,37.418995,126.696642
15,37.546478,126.735785
16,37.487669,126.672357
17,37.512916,126.730888
18,37.451826,126.709252
19,37.533946,126.722867
20,37.4491,126.736595
21,37.416896,126.703476
22,37.487152,126.8096
23,37.492951,126.755608
24,37.487994,126.664724
25,37.515395,126.777689
26,37.428363,126.669418
27,37.541668,126.733158
28,37.488982,126.6642
29,37.317722,126.7562
30,37.492807,126.756568
31,37.507518,126.710248
32,37.414739,126.6864
33,37.538737,126.736399
34,37.346892,126.705189
35,37.310941,126.759565
36,37.451865,126.709134
37,37.485986,126.810676
38,37.33905,126.821705
39,37.398777,126.729205
40,37.389621,126.648453
41,37.423862,126.645714
42,37.348774,126.711964
43,37.501248,126.787787
44,37.502054,126.70448
45,37.342471,126.814711
46,37.541725,126.741681
47,37.397243,126.734755
48,37.314731,126.747754
49,37.421842,126.683455
50,37.342376,126.705408
51,37.501723,126.789295
52,37.325972,126.840328
53,37.337105,126.811066
54,37.32783,126.724375
55,37.316104,126.746154
56,37.332093,126.728617
57,37.451695,126.669973
58,37.545244,126.73705
59,37.387409,126.650308
60,37.419665,126.678827
61,37.421804,126.68061
62,37.313519,126.840083
63,37.489294,126.708822
64,37.398496,126.691799
65,37.340217,126.806985
66,37.527043,126.824834
67,37.475548,126.681185
68,37.325369,126.721306
69,37.347022,126.718901
70,37.317979,126.835571
71,37.341732,126.743329
72,37.456835,126.670377
73,37.309937,126.839778
74,37.391693,126.646495
75,37.489057,126.78227
76,37.335631,126.805195
77,37.412862,126.712373
78,37.532787,126.720542
79,37.308363,126.840068
80,37.319731,126.829227
81,37.346168,126.75086
82,37.513568,126.697296
83,37.504011,126.776722
84,37.513674,126.705922
85,37.314376,126.797241
86,37.412694,126.704544
87,37.365684,126.648319
88,37.469849,126.463781
89,37.469351,126.460307
90,37.308377,126.783577
91,37.484557,126.509716
92,37.501446,126.788313
93,37.296984,126.819506
94,37.503188,126.777817
95,37.309268,126.792434
96,37.496311,126.781171
97,37.317378,126.789919
98,37.486968,126.792509
99,37.501306,126.787272
100,37.416532,126.696908
101,37.50464,126.772092
102,37.389437,126.641056
103,37.409355,126.676532
104,37.341969,126.813751
105,37.335163,126.727288
106,37.480029,126.453389
107,37.310563,126.833908
108,37.497696,126.778193
109,37.420713,126.694656
110,37.501708,126.789271
111,37.519031,126.721157
112,37.349858,126.725377
113,37.302248,126.772874
114,37.381981,126.662792
115,37.33606,126.789632
116,37.535088,126.711267
117,37.521129,126.683552
118,37.478594,126.464451
119,37.395436,126.68779
120,37.336598,126.722393
121,37.421353,126.690974
122,37.347418,126.731666
123,37.496595,126.787074
124,37.310322,126.840258
125,37.51903,126.718221
126,37.506977,126.753892
127,37.522256,126.718475
128,37.520666,126.797204
129,37.347195,126.741506
130,37.529481,126.699617
131,37.469768,126.457495
132,37.308508,126.839768
133,37.364385,126.733939
134,37.422769,126.684308
135,37.52,126.6746
136,37.52321,126.720041
137,37.507699,126.750652
138,37.303545,126.770495
139,37.501789,126.785712
140,37.399605,126.69024
141,37.479055,126.697087
142,37.332171,126.720504
143,37.316095,126.787007
144,37.415534,126.6852
145,37.459941,126.694063
146,37.493449,126.761322
147,37.306092,126.837296
148,37.519388,126.710658
149,37.518844,126.659795
150,37.308377,126.786143
151,37.347163,126.796349
152,37.316543,126.765088
153,37.500378,126.788559
154,37.399706,126.696145
155,37.515399,126.759906
156,37.493452,126.669378
157,37.492654,126.750193
158,37.312198,126.838558
159,37.430676,126.662716
160,37.50077,126.791142
161,37.308314,126.828257
162,37.408004,126.680743
163,37.346608,126.740913
164,37.476309,126.804723
165,37.336259,126.712836
166,37.522977,126.697698
167,37.528772,126.79887
168,37.515717,126.757249
169,37.463853,126.727109
170,37.497278,126.789497
171,37.313768,126.839097
172,37.389218,126.660061
173,37.468439,126.461409
174,37.425292,126.650857
175,37.49497,126.787926
176,37.524674,126.691582
177,37.469139,126.81124
178,37.397027,126.677431
179,37.516948,126.762467
180,37.446989,126.731942
181,37.306337,126.8236
182,37.383912,126.643855
183,37.524822,126.805326
184,37.458144,126.736737
185,37.516227,126.708132
186,37.496137,126.667779
187,37.393722,126.71503
188,37.371462,126.65303
189,37.502231,126.740958
190,37.517927,126.768718
191,37.301402,126.785683
192,37.305814,126.842546
193,37.50322,126.789893
194,37.524831,126.704668
195,37.317898,126.745476
196,37.407244,126.678004
197,37.509163,126.711442
198,37.465399,126.801426
199,37.521583,126.805178
200,37.479898,126.478293
201,37.518742,126.764104
202,37.311471,126.739129
203,37.511066,126.708026
204,37.298308,126.784085
205,37.390745,126.661644
206,37.511324,126.778528
207,37.466792,126.69075
208,37.521634,126.806243
209,37.305844,126.818315
210,37.30666,126.849589
211,37.309982,126.737459
212,37.506256,126.732215
213,37.468814,126.477087
214,37.396439,126.654238
215,37.313113,126.846797
216,37.312787,126.748391
217,37.329421,126.707686
218,37.526524,126.812196
219,37.398106,126.679259
220,37.541497,126.683519
221,37.511245,126.775801
222,37.310845,126.744807
223,37.322021,126.723597
224,37.477389,126.797763
225,37.301542,126.771527
226,37.484816,126.439616
227,37.303988,126.797429
228,37.481223,126.453392
229,37.309342,126.747799
230,37.388126,126.646003
231,37.312445,126.747234
232,37.45436,126.71174
233,37.404839,126.697158
234,37.504169,126.722521
235,37.40726,126.702677
236,37.405245,126.738692
237,37.330061,126.831241
238,37.318641,126.860915
239,37.466479,126.680895
240,37.409067,126.702255
241,37.389165,126.644162
242,37.344382,126.700061
243,37.504262,126.721909
244,37.312199,126.74261
245,37.532735,126.787766
246,37.547315,126.673586
247,37.392651,126.645235
248,37.52298,126.766743
249,37.483551,126.75811
250,37.395302,126.732637
251,37.450603,126.705706
252,37.503414,126.766031
253,37.492298,126.659897
254,37.309302,126.827824
255,37.507678,126.698147
256,37.510604,126.722507
257,37.511239,126.784346
258,37.397945,126.651392
259,37.480889,126.771782
260,37.34661,126.690933
261,37.396527,126.649848
262,37.316332,126.727198
263,37.451088,126.708268
264,37.498292,126.721044
265,37.489871,126.708028
266,37.479063,126.655938
267,37.486514,126.47795
268,37.453733,126.705816
269,37.497445,126.718311
270,37.554406,126.64261
271,37.515642,126.741044
272,37.350227,126.709174
273,37.492734,126.718497
274,37.325305,126.759392
275,37.54891,126.64086
276,37.486016,126.716156
277,37.396197,126.641533
278,37.52183,126.768749
279,37.299822,126.865105
280,37.511711,126.785795
281,37.531424,126.780414
282,37.490236,126.711397
283,37.517895,126.743695
284,37.500961,126.703731
285,37.529236,126.77977
286,37.450446,126.698544
287,37.48189,126.745138
288,37.389657,126.716411
289,37.396355,126.645146
290,37.490128,126.713022
291,37.391799,126.715575
292,37.44335,126.697584
293,37.290204,126.869714
294,37.317359,126.733799
295,37.3518,126.71145
296,37.487569,126.721842
297,37.287066,126.866836
298,37.373207,126.638709
299,37.527187,126.73559
300,37.391633,126.72734
301,37.449387,126.690333
302,37.304232,126.796188
303,37.530618,126.778489
304,37.39683,126.734081
305,37.291709,126.864165
306,37.318011,126.732021
307,37.370213,126.642342
308,37.516068,126.704485
309,37.52677,126.780241
310,37.392381,126.634307
311,37.477677,126.684486
312,37.316865,126.733157
313,37.515526,126.705584
314,37.489196,126.73126
315,37.528496,126.765703
316,37.287395,126.862256
317,37.39626,126.651931
318,37.437462,126.675892
319,37.536287,126.734627
320,37.475198,126.685668
321,37.39437,126.710774
322,37.534831,126.737168
323,37.484979,126.768461
324,37.290316,126.849625
325,37.482616,126.6641
326,37.530964,126.651559
327,37.517257,126.720096
328,37.382937,126.631777
329,37.450658,126.667437
330,37.50417,126.75644
331,37.486463,126.77705
332,37.529283,126.652557
333,37.382027,126.633335
334,37.488077,126.776501
335,37.450022,126.653488
336,37.542904,126.743854
337,37.405023,126.728916
338,37.279467,126.852071
339,37.489741,126.772507
340,37.539508,126.647048
341,37.281126,126.84456
342,37.382084,126.654663
343,37.49219,126.772632
344,37.517841,126.784101
345,37.437091,126.64713
346,37.467689,126.651669
347,37.499923,126.484481
348,37.537745,126.63879
349,37.448638,126.638436
350,37.285641,126.83429
351,37.387486,126.64842
352,37.530851,126.646962
353,37.496399,126.687723
354,37.448464,126.633308
355,37.483077,126.628301
356,37.378693,126.64117
357,37.521555,126.718435
358,37.53119,126.722199
359,37.492671,126.489965
360,37.532462,126.604098
361,37.482324,126.620748
362,37.484061,126.68025
363,37.506971,126.788262
364,37.485597,126.679913
365,37.526787,126.621355
366,37.493041,126.685842
367,37.299009,126.833047
368,37.52454,126.622279
369,37.491371,126.67809
370,37.527372,126.623457
371,37.456256,126.705206
